wls,rh3,rh4,rh5,rh6
478.5,0.0066635181190592314,0.1139127057206918,0.6809407026664549,0.5136145490222129
479.0,0.006490943411139569,0.11336561726480769,0.6755705150219112,0.5144389959663969
479.5,0.0063225394161029805,0.11281864771031898,0.6701941696121737,0.5152633259235695
480.0,0.0061582146797721175,0.1122718187985444,0.6648126465307753,0.5160879306768034
480.5,0.005997879466377615,0.11172515333135524,0.6594269132899216,0.5169132048527263
481.0,0.00584144573504695,0.11117867502012885,0.6540379246468815,0.5177395456031841
481.5,0.005688827116335392,0.11063240834945574,0.6486466224421148,0.5185673522917059
482.0,0.0055399388888094795,0.11008637845436926,0.6432539354489833,0.5193970261849296
482.5,0.005394697955694135,0.10954061100994526,0.6378607792348595,0.5202289701491096
483.0,0.005253022821593011,0.10899513213219883,0.6324680560334583,0.5210635883518235
483.5,0.005114833569292239,0.10844996828927428,0.6270766546282022,0.5219012859689912
484.0,0.004980051836656719,0.107905146221999,0.6216874502464247,0.5227424688972989
484.5,0.004848600793627626,0.10736069287293862,0.6163013044642139,0.5235875434721092
485.0,0.004720405119330251,0.1068166353231564,0.6109190651216878,0.5244369161909368
485.5,0.004595390979299428,0.10627300073594188,0.6055415662485003,0.5252909934425537
486.0,0.004473486002831255,0.10572981630683254,0.6001696279993488,0.5261501812417708
486.5,0.004354619260467802,0.10518710921930635,0.5948040565992806,0.5270148849699511
487.0,0.0042387212416222075,0.10464490660557879,0.5894456442985624,0.5278855091212816
487.5,0.00412572383235081,0.10410323551198257,0.5840951693368974,0.5287624570548338
488.0,0.004015560293278455,0.10356212286845733,0.5787533959167535,0.5296461307524348
488.5,0.003908165237683406,0.10302159546171784,0.5734210741855731,0.5305369305823504
489.0,0.0038034746097472083,0.10248167991170956,0.5680989402266314,0.531435255068792
489.5,0.0037014256629751704,0.10194240265099622,0.5627877160583055,0.5323415006672383
490.0,0.003601956938792267,0.10140378990675993,0.5574881096415165,0.5332560615455565
490.5,0.00350500824531965,0.10086586768512383,0.5522008148951063,0.5341793293709117
491.0,0.0034105206363358427,0.10032866175753655,0.546926511718905,0.5351116931024309
491.5,0.0033184363904272957,0.0997921976489855,0.5416658660242522,0.5360535387895957
492.0,0.003228698990331917,0.09925650062782844,0.5364195297717247,0.5370052493763253
492.5,0.0031412531024793628,0.09872159569705573,0.5311881410158347,0.5379672045107029
493.0,0.00305604455673169,0.0981875075868152,0.5259723239564505,0.538939780360299
493.5,0.0029730203263273625,0.09765426074805092,0.5207726889967034,0.5399233494330427
494.0,0.0028921285080316383,0.0971218793471218,0.5155898328071337,0.5409182804035709
494.5,0.0028133183024961527,0.09659038726128286,0.5104243383958411,0.5419249379450052
495.0,0.0027365399948299017,0.0960598080749234,0.5052767751844001,0.5429436825660803
495.5,0.0026617449353842928,0.09553016507647019,0.5001476990892961,0.5439748704535533
496.0,0.0025888855207539837,0.09500148125587386,0.49503765260865545,0.5450188533198227
496.5,0.0025179151749955405,0.09447377930260557,0.4899471649140288,0.5460759782556724
497.0,0.002448788331065537,0.09394708160410142,0.4848767519470005,0.5471465875880624
497.5,0.002381460412479463,0.09342141024459782,0.47982691652038933,0.5482310187428779
498.0,0.0023158878151929036,0.09289678700430995,0.47479814842381696,0.5493296041125478
498.5,0.002252027889705883,0.09237323335890986,0.46979092453341936,0.5504426709284442
499.0,0.002189838923391432,0.09185077047926642,0.46480570892547823,0.5515705411379624
499.5,0.002129280123049117,0.09132941923141526,0.4598429529937533,0.5527135312861924
500.0,0.002070311597684019,0.09080920017672992,0.45490309557030484,0.5538719524020763
500.5,0.0020128943415117606,0.0902901335722689,0.44998656304958823,0.5550461098889552
501.0,0.0019569902171897445,0.08977223937127785,0.44509376951561375,0.5562363034194001
501.5,0.0019025619392748511,0.08925553722382748,0.44022511687197485,0.5574428268342239
502.0,0.001849573057907488,0.08874004647757158,0.4353809949745283,0.5586659680455653
502.5,0.0017979879427219823,0.08822578617861059,0.43056178176654336,0.5599060089439442
503.0,0.0017477717669829942,0.0877127750724491,0.42576784341612384,0.5611632253091698
503.5,0.0016988904919475857,0.0872010316050358,0.42099953445570687,0.5624378867250003
504.0,0.0016513108514525274,0.08669057392387805,0.41625719792346355,0.5637302564974404
504.5,0.0016050003367260833,0.08618141987922225,0.4115411655064158,0.5650405915765616
505.0,0.0015599271814237341,0.08567358702529357,0.40685175768509346,0.5663691424817395
505.5,0.0015160603468869515,0.08516709262158902,0.4021892838795656,0.5677161532301899
506.0,0.0014733695076240639,0.08466195363421923,0.39755404259666943,0.5690818612686952
506.5,0.001431825037012328,0.08415818673729353,0.39294632157828807,0.570466497408401
507.0,0.0013913979932199797,0.08365580831434598,0.3883663979505065,0.5718702857625798
507.5,0.0013520601053471908,0.0831548344597972,0.38381453837350143,0.5732934436872349
508.0,0.0013137837597846412,0.08265528098045108,0.3792909991920145,0.5747361817244422
508.5,0.0012765419867883205,0.08215716339702216,0.37479602658626465,0.5761987035483127
509.0,0.0012403084472692608,0.08166049694569262,0.3703298567231618,0.5776812059134595
509.5,0.001205057419796566,0.08116529657969607,0.3658927159076909,0.5791838786058603
510.0,0.0011707637878123685,0.0806715769709273,0.3614848207343326,0.5807069043960057
510.5,0.0011374030270569831,0.08017935251157536,0.3571063782383977,0.5822504589942112
511.0,0.0011049511932026371,0.07968863731578021,0.35275758604716306,0.583814711007996
511.5,0.0010733849096940865,0.07919944522130921,0.3484386325306823,0.5853998219014087
512.0,0.0010426813557942753,0.07871178979125534,0.34414969695216985,0.5870059459561937
512.5,0.0010128182548333133,0.07822568431575364,0.33989094961785565,0.5886332302346917
513.0,0.000983773862658842,0.07774114181371648,0.3356625520262008,0.5902818145443645
513.5,0.0009555269562858987,0.07725817503458574,0.33146465701638733,0.5919518314038402
514.0,0.0009280568227443866,0.07677679646010203,0.32729740891598647,0.5936434060103731
514.5,0.0009013432481220475,0.07629701830608952,0.32316094368772147,0.5953566562086154
515.0,0.0008753665068010859,0.07581885252425578,0.31905538907524167,0.5970916924605992
515.5,0.0008501073508862518,0.07534231080400666,0.3149808647478304,0.5988486178168293
516.0,0.0008255469998224181,0.07486740457427404,0.3109374824439771,0.6006275278883826
516.5,0.0008016671301994896,0.07439414500535757,0.3069253461137408,0.6024285108199247
517.0,0.0007784498657425173,0.0739225430107788,0.30294455205984067,0.6042516472635453
